,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,AAPL,MSFT,AMZN,TSLA,AAPL_RSI,AAPL_EMA,AAPL_SMA,AAPL_MACD,MSFT_RSI,MSFT_EMA,MSFT_SMA,MSFT_MACD,AMZN_RSI,AMZN_EMA,AMZN_SMA,AMZN_MACD,TSLA_RSI,TSLA_EMA,TSLA_SMA,TSLA_MACD
2010-08-04,0.17770224337185592,0.02009286063746407,0.3388083811464422,0.024108629398283843,0.1571582830918744,0.37162633803618517,0.7360206471007041,0.028419182948490232,1.0,0.27237673866398665,0.16952915114190492,0.01839040943191056,0.0036564596890809598,0.004060019714838457,0.0010505559695482142,0.0005968736465722315,0.5107444104912812,0.0016635850251585857,0.001297540093782787,0.47242783707334457,0.4326196997670224,0.0026193269386769885,0.0025275642551269017,0.45149642489612146,0.6451269067736547,0.0,0.0,0.6058893435001813,0.45786529117243513,0.00024662071965731846,0.00014539235982651477,0.3988835915102143
2010-08-05,0.17620666213460234,0.019733807932113046,0.2972187963608415,0.023919472693581023,0.11919598668226404,0.37172596623142307,0.7359348094340905,0.02664298401420959,1.0,0.27237673866398665,0.14298295856625104,0.02009286063746407,0.003453442841166887,0.003375368833525731,0.0011198526779577361,0.00046477858750864883,0.48386925602808817,0.0017135576887268023,0.0013267981853069266,0.4726006612886592,0.3687345334174774,0.0025716637967073686,0.00262213315575871,0.4496321722539143,0.6500515900069161,0.00022129197402206285,0.00016535129826182604,0.6072356234009977,0.3975451807612337,0.00024104224813138427,0.00017219398417449945,0.3988621784264875
2010-08-06,0.17131203263086336,0.018686718541343295,0.316470275439255,0.023176034782620758,0.13636056870332047,0.3786073968428524,0.7358577238886209,0.02664298401420959,1.0,0.27237673866398665,0.10387722777752081,0.019733807932113046,0.0031980210429961645,0.0037176726716679417,0.0012556757068003868,0.0003245303980845492,0.4501701746054443,0.0017337848355715724,0.001330606805142208,0.4724219087757712,0.402073391196886,0.002562506321982322,0.0027482236142311947,0.4486245008070505,0.6601408517610845,0.0004349216140026313,0.0003228693752545461,0.6083539075185128,0.34062247825953484,0.0002209139235112888,0.00019182464657618295,0.3987745790781144
2010-08-09,0.17675050985724,0.02023097679938074,0.3300400378930059,0.024744473587303084,0.14925087735085035,0.3852564674932252,0.7356738042764935,0.02664298401420959,1.0,0.27237673866398665,0.07249018525597796,0.018686718541343295,0.0034613547830744384,0.0038317819519798485,0.0013970447985957868,0.00032616195730938166,0.4812327770770818,0.0017778457755560084,0.0013667529358210306,0.47253580850450216,0.4133690881287133,0.0025655438884250106,0.0028250600378706067,0.4479501598049258,0.6709816950068115,0.0006421663629488927,0.00045560615652329856,0.6092846988888859,0.34147844478822786,0.00020287802664021573,0.00021468225708075068,0.39870917022948527
2010-08-10,0.17987763426240655,0.018541092793818048,0.3300400378930059,0.022852906540275275,0.19104877170880952,0.36749568170445,0.7356216798457067,0.02664298401420959,1.0,0.27237673866398665,0.12729153011432937,0.02023097679938074,0.0030901543131580528,0.0028048128308488032,0.0017213573063323204,0.00023320623980765173,0.4306855769196213,0.001781398362821679,0.0014284286871056387,0.47218529123990094,0.3170495756186805,0.002466387485423653,0.0028191500410515366,0.44579818021837564,0.6958351346139287,0.0008617007330417314,0.000546043787421388,0.6101859866953403,0.30443500033976356,0.00017656414136628688,0.00022266010832325397,0.39861319373156706
2010-08-11,0.22093813732155,0.010608887282729296,0.3895271417591649,0.013640801482988574,0.20886574282372,0.3577994905945924,0.7355732965946936,0.02664298401420959,1.0,0.27237673866398665,0.11232134892507754,0.018541092793818048,0.001627582543780419,0.0024054447514332347,0.0005821013385399199,4.892403114720211e-05,0.2731852904136094,0.0016415389413752673,0.0014078447185585166,0.4702840025716949,0.2835529436375632,0.00233704582592046,0.0027620156789216824,0.44347360653390827,0.5323536232871175,0.0009478207771548841,0.0005829309088232412,0.6100298751143628,0.23983633232270535,0.0001329401482635822,0.00020527030641412326,0.3984473420344887
2010-08-12,0.2255608429639701,0.009137456964329993,0.39055378304466726,0.011597214919153775,0.21077791775398186,0.3475743816701725,0.7355286341894417,0.028419182948490232,1.0,0.27237673866398665,0.1396072112248387,0.010608887282729296,0.0018813851303780965,0.0017017596548728545,0.0007678204294574026,0.0,0.306419338161926,0.001539827283562667,0.0014106009650746223,0.46906230012725897,0.2284120767834531,0.002150196753787907,0.0026615370301243182,0.44057452743325315,0.549639200505885,0.0010440794491360095,0.0006470205182493582,0.609974139274411,0.2242280538384968,8.82099334889243e-05,0.00018474323570153144,0.39829832474495824
2010-08-13,0.23249490142760026,0.008042673782805931,0.2573741666219815,0.011014126361537813,0.13270494016017276,0.34572565490146256,0.7354876764741602,0.02664298401420959,1.0,0.27237673866398665,0.08400587492726001,0.009137456964329993,0.001454662349606485,0.0015305957344049978,0.0002494723798742507,0.00011741773307533078,0.26665616770035483,0.001406058999250774,0.0014041166342105005,0.46764436899362527,0.2155141205146467,0.001964158480305671,0.002613268160530105,0.43807342648699976,0.48346880857309543,0.0010799815911267455,0.0007353217790312394,0.6095050668602486,0.2937476247797317,6.03658758766318e-05,0.0001639472392899726,0.3982498369612819
2010-08-16,0.2305914343983685,0.008075317768396262,0.23654641893220368,0.010974559637985326,0.12642850715378384,0.3479213881009401,0.7353552686262341,0.028419182948490232,1.0,0.27237673866398665,0.1081690007833171,0.008042673782805931,0.0012230469969778043,0.0017207842690031075,0.0006319974006147519,0.0001924353390209666,0.24573228527348412,0.0012623731623139997,0.0014208110608647379,0.46630175778946514,0.24004393132772617,0.0018147102739642512,0.0025413583090455327,0.43646570304804067,0.5222034422962962,0.0011502404268642283,0.0008226260942569633,0.6093478134455901,0.3353315002789825,4.324040924950619e-05,0.00013589058560421882,0.3982588342446726
2010-08-17,0.2065261726716519,0.011379774983612478,0.3287944393801276,0.014578602246487493,0.1773823450013498,0.34929196306169674,0.7352657571884913,0.030195381882770874,1.0,0.27237673866398665,0.13957105552889199,0.008075317768396262,0.0019099407587737927,0.0023708375237610213,0.001405358606024941,0.0002527759105885783,0.3391141472356668,0.0011995659382505602,0.0014214590816094552,0.46603573722867875,0.32034091469577086,0.0017439990850743256,0.002478491488708559,0.4362800877066153,0.5928182195377472,0.0012901805978342284,0.0009473871752527299,0.6097101105516743,0.36793099656740824,3.423446792838198e-05,0.00012558233882598501,0.39830521060274343
